        TIME,    TIDE,      OB,   SURGE,    BIAS,     TWL,SURGE90p,  TWL90p,SURGE10p,   TWL10p
202602080600,   5.457,   6.717,   0.100,   1.160,   6.717,  -0.100,   6.517,   0.200,   6.817
202602080606,   5.626,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602080612,   5.789,   6.717,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602080618,   5.946,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602080624,   6.095,   6.707,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602080630,   6.237,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602080636,   6.371,   6.707,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602080642,   6.497,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602080648,   6.615,   6.707,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602080654,   6.725,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602080700,   6.827,9999.000,   0.200,9999.000,   7.027,   0.000,   6.827,   0.400,   7.227
202602080706,   6.921,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602080712,   7.007,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602080718,   7.084,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602080724,   7.155,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602080730,   7.217,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602080736,   7.273,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602080742,   7.321,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602080748,   7.361,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602080754,   7.395,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
