        TIME,    TIDE,      OB,   SURGE,    BIAS,     TWL,SURGE90p,  TWL90p,SURGE10p,   TWL10p
202602151200,   1.229,   0.078,  -1.100,  -0.051,   0.078,  -1.100,   0.078,  -1.100,   0.078
202602151206,   1.318,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151212,   1.406,   0.160,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151218,   1.492,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151224,   1.575,   0.308,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151230,   1.657,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151236,   1.736,   0.409,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151242,   1.812,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151248,   1.886,   0.531,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151254,   1.958,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151300,   2.027,   0.570,  -1.100,  -0.357,   0.570,  -1.100,   0.570,  -1.100,   0.570
202602151306,   2.093,   0.669,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151312,   2.157,   0.760,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151318,   2.219,   0.770,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151324,   2.278,   0.731,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151330,   2.335,   0.859,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151336,   2.390,   0.941,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151342,   2.443,   0.941,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151348,   2.494,   0.961,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151354,   2.543,   1.010,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151400,   2.591,   1.161,  -1.100,  -0.330,   1.161,  -1.100,   1.161,  -1.100,   1.161
202602151406,   2.636,   1.161,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151412,   2.680,   1.161,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151418,   2.723,   1.269,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151424,   2.764,   1.308,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151430,   2.803,   1.348,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151436,   2.841,   1.380,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151442,   2.878,   1.469,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151448,   2.913,   1.528,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151454,   2.947,   1.571,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151500,   2.980,   1.630,  -1.100,  -0.250,   1.630,  -1.100,   1.630,  -1.000,   1.730
202602151506,   3.011,   1.659,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151512,   3.042,   1.669,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151518,   3.071,   1.630,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151524,   3.099,   1.699,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151530,   3.126,   1.800,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151536,   3.153,   1.879,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151542,   3.179,   1.928,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151548,   3.204,   2.010,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151554,   3.229,   2.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151600,   3.254,   1.938,  -1.000,  -0.316,   1.938,  -1.100,   1.838,  -1.000,   1.938
202602151606,   3.278,   1.967,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151612,   3.303,   2.069,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151618,   3.327,   2.109,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151624,   3.352,   2.059,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151630,   3.377,   2.128,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151636,   3.403,   2.210,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151642,   3.429,   2.279,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151648,   3.456,   2.309,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151654,   3.483,   2.318,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151700,   3.510,   2.309,  -1.000,  -0.201,   2.309,  -1.000,   2.309,  -0.900,   2.409
202602151706,   3.538,   2.289,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151712,   3.567,   2.358,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151718,   3.596,   2.430,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151724,   3.625,   2.450,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151730,   3.654,   2.469,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151736,   3.683,   2.459,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151742,   3.711,   2.548,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151748,   3.740,   2.568,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151754,   3.768,   2.578,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151800,   3.795,   2.597,  -0.800,  -0.398,   2.597,  -0.900,   2.497,  -0.800,   2.597
202602151806,   3.821,   2.640,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151812,   3.846,   2.738,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151818,   3.870,   2.758,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151824,   3.892,   2.768,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151830,   3.913,   2.768,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151836,   3.933,   2.728,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151842,   3.951,   2.728,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151848,   3.968,   2.807,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151854,   3.983,   2.860,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151900,   3.997,   2.929,  -0.800,  -0.268,   2.929,  -0.800,   2.929,  -0.700,   3.029
202602151906,   4.009,   2.968,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151912,   4.020,   2.958,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151918,   4.030,   2.997,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151924,   4.038,   3.040,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151930,   4.046,   3.017,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151936,   4.052,   2.948,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151942,   4.058,   2.938,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151948,   4.063,   3.017,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602151954,   4.067,   3.089,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602152000,   4.070,   3.079,  -0.800,  -0.191,   3.079,  -0.800,   3.079,  -0.700,   3.179
202602152006,   4.074,   3.060,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602152012,   4.076,   3.109,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602152018,   4.079,   3.158,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602152024,   4.081,   3.178,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602152030,   4.082,   3.188,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602152036,   4.083,   3.188,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602152042,   4.084,   3.240,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602152048,   4.084,   3.260,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602152054,   4.084,   3.230,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602152100,   4.083,   3.188,  -0.800,  -0.095,   3.188,  -0.800,   3.188,  -0.700,   3.288
202602152106,   4.082,   3.217,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602152112,   4.080,   3.217,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602152118,   4.077,   3.240,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602152124,   4.073,   3.299,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602152130,   4.069,   3.388,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602152136,   4.064,   3.339,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602152142,   4.058,   3.329,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602152148,   4.051,   3.358,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602152154,   4.043,   3.427,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602152200,   4.034,   3.358,  -0.800,   0.124,   3.358,  -0.800,   3.358,  -0.700,   3.458
202602152206,   4.025,   3.319,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602152212,   4.014,   3.339,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602152218,   4.003,   3.339,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602152224,   3.991,   3.309,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602152230,   3.979,   3.398,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602152236,   3.965,   3.509,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602152242,   3.951,   3.339,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602152248,   3.936,   3.398,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602152254,   3.921,   3.460,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602152300,   3.905,   3.427,  -0.700,   0.222,   3.427,  -0.800,   3.327,  -0.700,   3.427
202602152306,   3.888,   3.378,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602152312,   3.870,   3.378,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602152318,   3.850,   3.339,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602152324,   3.830,   3.309,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602152330,   3.809,   3.309,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602152336,   3.786,   3.270,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602152342,   3.761,   3.339,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602152348,   3.734,   3.299,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602152354,   3.706,   3.102,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602160000,   3.675,   3.102,  -0.500,  -0.073,   3.102,  -0.600,   3.002,  -0.500,   3.102
202602160006,   3.641,   3.348,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602160012,   3.605,   3.188,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602160018,   3.566,   3.099,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602160024,   3.524,   3.148,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602160030,   3.479,   3.099,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602160036,   3.430,   3.017,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602160042,   3.378,   3.040,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602160048,   3.323,   3.050,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602160054,   3.264,   2.948,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602160100,   3.202,   2.909,  -0.500,   0.207,   2.909,  -0.600,   2.809,  -0.500,   2.909
202602160106,   3.136,   2.929,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602160112,   3.067,   2.958,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602160118,   2.994,   2.820,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602160124,   2.919,   2.738,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602160130,   2.840,   2.728,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602160136,   2.758,   2.709,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602160142,   2.674,   2.699,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602160148,   2.587,   2.660,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602160154,   2.498,   2.587,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602160200,   2.407,   2.519,  -0.500,   0.612,   2.519,  -0.500,   2.519,  -0.400,   2.619
202602160206,   2.314,   2.469,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602160212,   2.220,   2.459,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602160218,   2.124,   2.387,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602160224,   2.027,   2.299,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602160230,   1.929,   2.220,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602160236,   1.831,   2.250,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602160242,   1.731,   2.220,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602160248,   1.631,   2.059,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602160254,   1.531,   2.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602160300,   1.431,   1.967,  -0.400,   0.936,   1.967,  -0.400,   1.967,  -0.400,   1.967
202602160306,   1.330,   1.879,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602160312,   1.230,   1.781,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602160318,   1.130,   1.758,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602160324,   1.031,   1.728,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602160330,   0.931,   1.669,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602160336,   0.833,   1.649,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602160342,   0.736,   1.600,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602160348,   0.639,   1.528,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602160354,   0.544,   1.410,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602160400,   0.450,   1.328,  -0.400,   1.278,   1.328,  -0.400,   1.328,  -0.300,   1.428
202602160406,   0.357,   1.269,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602160412,   0.267,   1.190,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602160418,   0.178,   1.108,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602160424,   0.091,   1.079,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602160430,   0.007,   1.029,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602160436,  -0.074,   0.970,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602160442,  -0.154,   0.869,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602160448,  -0.230,   0.819,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602160454,  -0.303,   0.780,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602160500,  -0.374,   0.698,  -0.300,   1.372,   0.698,  -0.400,   0.598,  -0.300,   0.698
202602160506,  -0.441,   0.659,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602160512,  -0.505,   0.590,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602160518,  -0.565,   0.518,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602160524,  -0.622,   0.419,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602160530,  -0.676,   0.409,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
